Fecha,Sesiones,Montos
23/06/2016,304979,37872176.13
24/06/2016,268104,29401393.82
25/06/2016,190313,19050439.03
26/06/2016,191568,17558706.94
27/06/2016,320152,34330891.59
28/06/2016,349862,42476459.32
29/06/2016,335628,43140285.85
30/06/2016,325860,37429766.32
01/07/2016,294965,36814154.02
02/07/2016,204230,22559556.92
03/07/2016,197335,19351181.64
04/07/2016,316159,37000671.93
05/07/2016,349634,46821336.3
06/07/2016,361191,44895048.76
07/07/2016,328222,41465992.87
08/07/2016,302408,34959988.81
09/07/2016,213481,22911632.39
10/07/2016,216012,20777409.04
11/07/2016,356375,41697627.41
12/07/2016,356096,47923559.85
13/07/2016,385312,46883541
14/07/2016,305608,29472077.45
15/07/2016,228718,32067912.23
16/07/2016,198078,23496263.7
17/07/2016,206787,23185284.08
18/07/2016,289347,36972297
19/07/2016,315898,54986718.88
20/07/2016,330913,39124648.07
21/07/2016,343145,46672900.5
22/07/2016,303513,36153477.87
23/07/2016,198819,22905833.43
24/07/2016,193083,19340992.02
25/07/2016,339627,38062739.81
26/07/2016,356489,37874931.54
27/07/2016,348346,40405635.88
28/07/2016,314895,34603538.25
29/07/2016,297215,29066064.91
30/07/2016,207679,20522754.17
31/07/2016,203280,17812549.05
01/08/2016,339298,30010230.79
02/08/2016,334827,47422181.1
03/08/2016,356435,40467411.69
04/08/2016,329666,36759516.3
05/08/2016,269582,30470886.17
06/08/2016,186979,19531313.74
07/08/2016,184414,17938084
08/08/2016,308438,33549623.11
09/08/2016,366641,42641820.17
10/08/2016,312737,32187732
11/08/2016,293566,28835102.16
12/08/2016,264369,24224733.02
13/08/2016,182021,16146193.86
14/08/2016,189149,15354720.2
15/08/2016,310296,29281899.14
16/08/2016,324871,36098483.27
17/08/2016,315680,27731370.22
18/08/2016,313797,29146920.57
19/08/2016,265828,22913453.48
20/08/2016,181538,13492998.31
21/08/2016,173796,15169321.24
22/08/2016,291517,27103390.25
23/08/2016,306161,31484506.29
24/08/2016,299686,28284390.25
25/08/2016,282014,27550806.64
26/08/2016,261067,23129342.15
27/08/2016,178156,16477438.39
28/08/2016,179334,16170386.31
29/08/2016,300933,26197479.18
30/08/2016,316433,32620705.5
31/08/2016,412904,58746908.07
01/09/2016,303910,28676376.75
02/09/2016,241643,24400015.94
03/09/2016,175158,10908508.62
04/09/2016,177295,12717924.8
05/09/2016,281728,28810824.61
06/09/2016,305186,39158231.92
07/09/2016,313132,34685085.05
08/09/2016,305098,30980666.53
09/09/2016,280603,28996058.59
10/09/2016,189586,19647368.99
11/09/2016,199010,19780078.72
12/09/2016,313525,30924403.84
13/09/2016,319456,36048086.71
14/09/2016,295155,36476978.67
15/09/2016,267844,37161326.82
16/09/2016,195070,22755087.63
17/09/2016,180357,21134576.69
18/09/2016,200567,21667480.76
19/09/2016,327765,39499924.98
20/09/2016,314984,36151560.63
21/09/2016,316173,38924353.3
22/09/2016,302441,36070098.48
23/09/2016,260382,25040128.08
24/09/2016,175100,17865792.97
25/09/2016,186935,15668661.38
26/09/2016,305497,31941600.84
27/09/2016,307350,41623941.59
28/09/2016,287710,36061473.85
29/09/2016,276043,30306845.24
30/09/2016,242745,26293380.71
01/10/2016,183016,19997652.52
02/10/2016,195403,17530027.45
03/10/2016,304341,35062635.6
04/10/2016,338192,46162647.9
05/10/2016,312085,40345077.96
06/10/2016,282353,32211434.31
07/10/2016,261341,29762150.68
08/10/2016,176335,20072837.18
09/10/2016,185033,21352567.14
10/10/2016,288449,34960945.68
11/10/2016,316097,41377514.31
12/10/2016,300482,37985356.91
13/10/2016,308469,31729141.53
14/10/2016,253862,27905787.42
15/10/2016,176128,19922728.36
16/10/2016,186812,21241424.27
17/10/2016,311112,33505619.13
18/10/2016,313039,38479785.28
19/10/2016,292683,35916537.18
20/10/2016,289354,35788918.72
21/10/2016,244187,28124429.83
22/10/2016,172388,19648806.9
23/10/2016,184004,19875946.97
24/10/2016,297599,34909865.24
25/10/2016,324402,35232122.7
26/10/2016,287762,35934786.05
27/10/2016,291970,42818119.72
28/10/2016,252959,29499488.97
29/10/2016,159308,19401243.15
30/10/2016,169516,20873688.42
31/10/2016,248060,37344832.37
01/11/2016,264938,36823824.4
02/11/2016,242416,34394661.05
03/11/2016,286995,38976988.58
04/11/2016,268246,32197824.63
05/11/2016,192914,21879852.26
06/11/2016,195511,21783853.22
07/11/2016,321555,36658600.48
08/11/2016,312969,39049788.87
09/11/2016,301091,41725899.39
10/11/2016,284328,37368781.98
11/11/2016,274694,32529067.97
12/11/2016,189782,22360474.28
13/11/2016,204834,22325308.28
14/11/2016,318217,36755154.35
15/11/2016,300188,42947993.53
16/11/2016,333589,42272649.58
17/11/2016,429427,41911176.84
18/11/2016,512234,70204770.67
19/11/2016,321907,39724416.98
20/11/2016,282145,39977995.92
21/11/2016,353105,53445564.42
22/11/2016,349607,31725124.9
23/11/2016,323859,32494392.2
24/11/2016,278922,30074540.52
25/11/2016,301244,37725194.68
26/11/2016,183414,22285185.41
27/11/2016,182199,21185591.16
28/11/2016,314029,44703050.57
29/11/2016,293907,36825187.34
30/11/2016,321424,39581727.28
